Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Nome_Fundo_Classe;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
;24.853.060/0001-15;2024-12-01;1;2025-03-31;XPCE RE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2015-12-27;INVESTIDOR PROFISSIONAL;BRXPCECTF006;39530.429051;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;24853060000115;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;24.960.430/0001-13;2024-06-01;1;2024-08-29;KINEA INDICES DE PREÇOS FII;2016-09-16;INVESTIDOR QUALIFICADO;BRKNIPCTF001;80078186;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/06;S;N;N;S;N;INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62418140000131;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
Classe;24.976.492/0001-13;2024-12-01;1;2025-03-31;IRON CAPITAL REAL ESTATE I FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-06-03;INVESTIDOR PROFISSIONAL;0;11069.1227367;N;N;Títulos e Valores Mobiliários;Lajes Corporativas;Ativa;Indeterminado;;31/12;S;N;N;S;N;SEFER INVESTIMENTOS DTVM LTDA;00329598000167;AV BRIGADEIRO FARIA LIMA;3900;6º ANDAR;ITAIM BIBI;SÃO PAULO;SP;04538-132;11 3113-0083;;;ww.seferinvestimentos.com.br;informeslegais@seferinvestimentos.com.br
Classe;25.032.881/0001-53;2024-12-01;1;2025-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO TG ATIVO REAL;2016-12-09;INVESTIDORES EM GERAL;BRTGARCTF009;23567968.3637;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22610500000188;Rua Gilberto Sabino;215;4º andar;Pinheiros;São Paulo;SP;5425020;11  30307177;;;www.vortx.com.br;regulatorio.funds@vortx.com.br
Classe;26.091.656/0001-50;2024-06-01;1;2024-09-20;OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2016-11-30;INVESTIDORES EM GERAL;BROUJPCTF006;3252384;N;N;Títulos e Valores Mobiliários;Híbrido;Ativa;Indeterminado;;30/06;S;N;N;S;N;FINAXIS CORRETORA;03317692000194;Avenida Paulista;1842;Torre Norte 1º andar cj. 17;Cerqueira Cesar;São Paulo;SP;01310-923;(11) 3526 9001;;;https://corretora.finaxis.com.br/;atendimento@finaxis.com.br
Classe;26.191.053/0001-20;2024-12-01;1;2025-03-31;GOLDEN WEST VX FUNDO DE INVESTIMENTO IMOBILIARIO;2016-12-28;INVESTIDOR QUALIFICADO;BR00DXCTF006;167445.28613367;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;26191053000120;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;26.269.251/0001-60;2024-06-01;1;2024-09-25;WHITE BEAR FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-10-21;INVESTIDOR QUALIFICADO;00000;31977.3176153;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Determinado;2023-10-21;30/06;S;N;N;S;N;SEFER INVESTIMENTOS DTVM LTDA;26269251000160;AV BRIGADEIRO FARIA LIMA;3900;6º ANDAR;ITAIM BIBI;SÃO PAULO;SP;01451-010;11 3113-0060;11 3113-0069;;www.seferinvestimentos.com.br;informeslegais@seferinvestimentos.com.br
Fundo;26.314.437/0001-93;2024-06-01;1;2024-09-26;FII  FII RBR DESENVOLVIMENTO;2017-01-27;INVESTIDOR QUALIFICADO;BRRBRMCTF009;539;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/06;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;26.452.053/0001-37;2024-12-01;1;2025-03-28;FUNDO DE INVESTIMENTO IMOBILIÁRIO ANTILHAS;2019-08-29;INVESTIDOR PROFISSIONAL;000;201737.69692848;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;SEFER INVESTIMENTOS DTVM LTDA;00329598000167;AV BRIGADEIRO FARIA LIMA;3900;6º ANDAR;ITAIM BIBI;SÃO PAULO;SP;04538-132;11 3113-0083;;;ww.seferinvestimentos.com.br;informeslegais@seferinvestimentos.com.br
Classe;26.452.179/0001-01;2024-06-01;1;2024-10-07;VIRACONDO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2023-12-18;INVESTIDOR QUALIFICADO;0;54686.34342044;N;N;Híbrido;Outros;Ativa;Indeterminado;;30/06;N;N;S;N;N;REAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;34829992000186;AV. BRIGADEIRO FARIA LIMA;2277;17º;Vila Olímpia;São Paulo;SP;01452000;3504-6800;;;www.reag.com.br;ramon.dantas@reag.com.br
Classe;26.499.833/0001-32;2024-12-01;1;2025-03-31;GENIAL MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-12-14;INVESTIDORES EM GERAL;BRMALLCTF007;12975034;N;N;Renda;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO GENIAL S.A.;45246410000155;PR DE BOTAFOGO;228;SALA;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;11 3206-8000;21 3923-3000;;WWW.BANCOGENIAL.COM;MIDDLEADM@GENIAL.COM.VC
Classe;26.502.794/0001-85;2024-12-01;1;2025-03-31;XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2016-10-18;INVESTIDORES EM GERAL;BRXPLGCTF002;31175931.0002;S;S;Híbrido;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22610500000188;Rua Gilberto Sabino;215;4º andar;Pinheiros;São Paulo;SP;5425020;11  30307177;;;www.vortx.com.br;regulatorio.funds@vortx.com.br
Classe;26.502.810/0001-30;2024-12-01;1;2025-03-31;XPCE RE FII 2 - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-10-18;INVESTIDOR PROFISSIONAL;BR01MFCTF002;10;S;S;Híbrido;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22610500000188;Rua Gilberto Sabino;215;4º andar;Pinheiros;São Paulo;SP;5425020;11  30307177;;;www.vortx.com.br;regulatorio.funds@vortx.com.br
Classe;26.545.627/0001-11;2024-12-01;1;2025-03-25;BRL VI FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-03-22;INVESTIDOR QUALIFICADO;;752.0326;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
Classe;26.614.291/0001-00;2024-06-01;2;2024-10-01;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-01-11;INVESTIDORES EM GERAL;BRGGRCCTF002;105802729;N;N;Híbrido;Logística;Ativa;Indeterminado;;30/06;S;N;N;S;N;BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;02671743000119;Avenida Brigadeiro Faria Lima;3477;Torre B, 8º andar;Itaim Bibi;São Paulo;SP;04538-133;(11) 2197-4645;;;www.banvox.com.br;informesregulatorios@banvox.com.br
Classe;26.642.727/0001-66;2024-12-01;1;2025-03-24;DIAMANTE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-02-13;INVESTIDORES EM GERAL;BRDAMTCTF007;126190350.0913;N;N;Renda;Híbrido;Passiva;Determinado;2027-02-01;31/12;S;S;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59281253000123;Praia de Botafogo;501;Torre Corcovado, 5º andar - parte;Botafogo;Rio de Janeiro;RJ;22250040;(21)3262-9600;;;https://www.btgpactual.com;ol-reguladores@btgpactual.com
Classe;26.642.834/0001-94;2024-12-01;1;2025-03-31;JIVE ATIVOS IMOBILIÁRIOS II - FII;2016-11-10;INVESTIDOR PROFISSIONAL;;132971995.962992;S;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;S;N;N;S;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;26642834000194;Rua Alves Guimarães;1216;;Pinheiros;Sâo Paulo;SP;05410-002;(11) 3133-0350;;;www.modal.com.br;infolegal@apexgroup.com
Classe;26.681.370/0001-25;2024-12-01;2;2025-04-02;TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-11-25;INVESTIDORES EM GERAL;BRTEPPCTF006;4221967;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;26681370000125;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
Classe;26.813.118/0001-22;2024-12-01;1;2025-03-28;PANORAMA PROPERTIES FUNDO DE INVESTIMENTO IMOBILIARIO;2021-02-02;INVESTIDOR QUALIFICADO;BRPNPRCTF001;897816.7151;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;S;N;S;N;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A;62285390000140;AVENIDA BRIGADEIRO FARIA LIMA;1355;5 ANDAR;JARDIM PAULISTANO;SÃO PAULO;SP;01452919;(11) 2827-3500;;;www.singulare.com.br;fii.adm@singulare.com.br
Classe;26.846.134/0001-11;2024-06-01;1;2024-09-27;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL LAND;2018-08-07;INVESTIDOR PROFISSIONAL;BR01M9CTF002;75807.90839415;N;N;Desenvolvimento para Renda;Lajes Corporativas;Ativa;Indeterminado;;30/06;N;S;N;N;S;BANCO DAYCOVAL S/A;62232889000190;AV. PAULISTA;1793;2° andar;Bela Vista;São Paulo;SP;01311200;0300 111 0500;(11) 4090-2223;(11) 3138-4061;www.daycoval.com.br;middlesmc@bancodaycoval.com.br
Classe;26.846.134/0001-11;2024-12-01;1;2025-03-27;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL LAND;2018-08-07;INVESTIDOR PROFISSIONAL;BR01M9CTF002;94674.1401176;N;N;Desenvolvimento para Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;N;S;N;S;N;BANCO DAYCOVAL S/A;62232889000190;AV. PAULISTA;1793;2° andar;Bela Vista;São Paulo;SP;01311200;(11) 3138-0921;(11) 3138-1678;(11) 3138-1678;www.daycoval.com.br;informes.regulatorios@bancodaycoval.com.br
Classe;26.846.280/0001-47;2024-06-01;1;2024-09-30;FUNDO DE INVESTIMENTO IMOBILIÁRIO FUTURO;2023-09-22;INVESTIDOR QUALIFICADO;BR00MQCTF001;22634.504187;N;N;Títulos e Valores Mobiliários;Híbrido;Ativa;Indeterminado;;30/06;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22610500000188;Rua Gilberto Sabino;215;4º andar;Pinheiros;São Paulo;SP;5425020;11 30307177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;26.990.011/0001-50;2024-12-01;1;2025-03-28;TREECORP REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO I;2017-01-30;INVESTIDORES EM GERAL;BRTCPFCTF001;297327;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.;44077014000189;RUA SURUBIM;577;10º ANDAR;CIDADE MONÇÕES;SÃO PAULO;SP;04571-050;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br
Classe;27.368.600/0001-63;2024-12-01;1;2025-03-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA;2017-12-15;INVESTIDOR QUALIFICADO;BRVTLTCTF001;2115000;N;N;Renda;Logística;Ativa;Indeterminado;;31/12;S;N;N;S;N;TIVIO CAPITAL DTVM S.A.;27368600000163;Avenida Faria Lima;4300;7º andar;Vila Olímpia;São Paulo;SP;04538-132;(11) 5171-5359;;;www.tivio.com;ri@tivio.com
;27.368.617/0001-10;2024-12-01;1;2025-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO QUINTAS;2018-03-22;INVESTIDOR QUALIFICADO;BRQNTSCTF009;1340236;S;S;Desenvolvimento para Renda;Outros;Ativa;Indeterminado;;31/12;S;S;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;27368617000110;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;27.368.863/0001-72;2024-12-01;1;2025-03-26;FUNDO DE INVESTIMENTO IMOBILIÁRIO COLATERAL;2018-01-25;INVESTIDOR QUALIFICADO;BR09FRCTF004;83242.41749951;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;PLANNER CORRETORA DE VALORES S.A.;27368863000172;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2600;0800 179 444;(11) 2172-2667;www.planner.com.br;inforegulatorio@planner.com.br
Classe;27.445.482/0001-40;2024-06-01;1;2024-09-26;HEDGE AAA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2020-11-26;INVESTIDORES EM GERAL;BRHAAACTF003;3455000;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;30/06;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
Classe;27.486.542/0001-72;2024-12-01;1;2025-03-28;HEDGE LOGÍSTICA FUNDO DE INVEST IMOBILIÁRIO;2017-04-27;INVESTIDORES EM GERAL;BRHLOGCTF008;4250000;N;N;Renda;Logística;Ativa;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR, CJ 112, parte;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
Classe;27.529.279/0001-51;2024-12-01;1;2025-03-31;FII RBR ALPHA FUNDO DE FUNDOS;2017-09-14;INVESTIDORES EM GERAL;BRRBRFCTF003;136807700;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;27.538.422/0001-71;2024-12-01;1;2025-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO SUCCESPAR VAREJO;2019-12-19;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRSPVJCTF005;6312090;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22610500000188;Rua Gilberto Sabino;215;4º andar;Pinheiros;São Paulo;SP;5425020;11  30307177;;;www.vortx.com.br;regulatorio.funds@vortx.com.br
Classe;27.538.477/0001-81;2024-12-01;1;2025-03-31;FUNDO DE INVESTIMENTO IMOBILIARIO HARMONIA;2018-12-11;INVESTIDOR PROFISSIONAL;BR00RKCTF003;294.9552;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22610500000188;Rua Gilberto Sabino;215;4º andar;Pinheiros;São Paulo;SP;5425020;11  30307177;;;www.vortx.com.br;regulatorio.funds@vortx.com.br
Classe;27.539.651/0001-00;2024-06-01;1;2024-10-07;TRADE INVEST CARE II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2020-06-25;INVESTIDOR PROFISSIONAL;0;30677.4859573;S;N;Renda;Híbrido;Ativa;Indeterminado;;30/06;N;N;S;N;N;REAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;34829992000186;Av Faria Lima;2277;17º andar;Jardim Paulistano;São Paulo;SP;01452000;11 3504-1300;;;www.reag.com.br;dtvm@reag.com.br
Classe;27.590.950/0001-70;2024-12-01;1;2025-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO JAGUAR;2023-08-16;INVESTIDOR PROFISSIONAL;BR0I6JCTF009;1155.85968435;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;67030395000146;Avenida Brigadeiro Faria Lima;3477;11º andar;Itaim Bibi;São Paulo;SP;04538-133;(11) 2197-4400;;;www.trusteedtvm.com.br;corporativodtvm@trusteedtvm.com.br
Fundo;27.602.955/0001-75;2024-12-01;1;2025-03-29;FUNDO DE INVESTIMENTO IMOBILIÁRIO MILLENIUM - FII;2017-04-13;INVESTIDOR PROFISSIONAL;-;408008;N;N;Renda;Outros;Passiva;Indeterminado;;31/12;N;S;N;S;N;OSLO CAPITAL DTVM S.A;13673855000125;Rua Dr. Eduardo de Souza Aranha;153;4º andar;Vila Nova Conceição;São Paulo;SP;4543120;(11) 3513-3100;;;www.oslodtvm.com;admfundos@oslodtvm.com
Classe;27.771.547/0001-47;2024-12-01;1;2025-03-31;FII SJ AU LOG;2020-10-02;INVESTIDORES EM GERAL;BRSJAUCTF009;7932248;N;N;Híbrido;Logística;Ativa;Indeterminado;;31/12;S;N;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;27771547000147;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;27.771.586/0001-44;2024-12-01;1;2025-03-25;GRUPO RCFA FUNDO DE INVESTIMENTO IMOBILIARIO;2018-07-26;INVESTIDOR PROFISSIONAL;BRRCFACTF007;583926.07550609;S;N;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;S;N;N;S;N;TERRA INVESTIMENTOS DTVM LTDA;27771586000144;Rua Joaquim Floriano;100;5º andar;Itaim Bibi;São Paulo;SP;04534000;11 3165.6000;;;www.terrainvestimentos.com.br;admfundos@terrainvestimentos.com.br
Classe;27.773.327/0001-52;2024-12-01;2;2025-03-30;AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2018-12-14;INVESTIDOR QUALIFICADO;0;160757.049249;N;N;Renda;Outros;Passiva;Indeterminado;;31/12;N;N;S;N;N;REAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS AS;34829992000186;Avenida Brigadeiro Faria Lima;2277;17º andar;Vila Olímpia;São Paulo;SP;01452000;35141300;;;www.reag.com.br;compliance@reag.com.br
Fundo;27.882.134/0001-30;2024-06-01;1;2024-09-27;APOLO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2021-05-19;INVESTIDOR QUALIFICADO;BR09F9CTF003;4275.4272;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;30/06;N;N;S;N;N;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A;62285390000140;AVENIDA BRIGADEIRO FARIA LIMA;1355;5 andar;Jardim Paulistano;São Paulo;SP;01452-919;(11)2827-3500;;;www.singulare.com.br;fii.adm@singulare.com.br
Classe;28.108.193/0001-18;2024-12-01;1;2025-03-28;DEL MONTE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2017-12-15;INVESTIDORES EM GERAL;BRDLMTCTF004;13225796.64;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;67030395000146;Avenida Brigadeiro Faria Lima;3477;11º andar;Itaim Bibi;São Paulo;SP;04538-133;(11) 2197-4400;;;www.trusteedtvm.com.br;corporativodtvm@trusteedtvm.com.br
Classe;28.152.272/0001-26;2024-12-01;1;2025-03-28;FUNDO DE INVEST  IMOB - FII REC RECEBÍVEIS IMOBILIÁRIOS;2017-10-16;INVESTIDORES EM GERAL;BRRECRCTF004;26441650;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;28152272000126;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
Classe;28.152.777/0001-90;2024-12-01;1;2025-03-28;SUNO AGRO FIAGRO IMOBILIARIO - SUNO AGRO FII;2022-04-29;INVESTIDORES EM GERAL;BRSNAGCTF000;60740353;N;S;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;S;N;S;S;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A;62285390000140;AVENIDA BRIGADEIRO FARIA LIMA;1355;5 ANDAR;JARDIM PAULISTANO;SÃO PAULO;SP;01452919;(11) 2827-3500;;;www.singulare.com.br;fii.adm@singulare.com.br
Classe;28.216.384/0001-01;2024-12-01;1;2025-03-31;SICOOB AGÊNCIAS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-09-19;INVESTIDOR QUALIFICADO;BRSCOOCTF008;3239431;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;S;N;S;N;SICOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;07397614000106;SIG Quadra 06 - Lote;2080;Sala 201;Setor de Indústrias Gráficas;Brasília;DF;70610460;6132175525;6132175583;6132175315;www.sicoob.com.br/bancosicoob-dtvm;dtvm@sicoob.com.br
Classe;28.267.530/0001-10;2024-12-01;2;2025-03-30;SABUGAL FUNDO DE INVESTIMENTO IMOBILIARIO;2017-11-13;INVESTIDOR QUALIFICADO;0;3561.24;S;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;REAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;34829992000186;Av Faria Lima;2277;17º andar;Vila Olímpia;São Paulo;SP;01452000;35141300;;;www.reag.com.br;compliance@reag.com.br
Classe;28.267.555/0001-13;2024-12-01;1;2025-03-27;BASÍLICA PARTNERS LED CORPORATE FII;2017-07-31;INVESTIDOR QUALIFICADO;BRBPLCCTF007;32000;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;S;N;S;N;BANCO DAYCOVAL S/A;62232889000190;AV. PAULISTA;1793;2° andar;Bela Vista;São Paulo;SP;01311200;(11) 3138-8928;(11) 3138 - 8805;;www.daycoval.com.br;informes.regulatorios@bancodaycoval.com.br
Classe;28.267.696/0001-36;2024-06-01;1;2024-09-30;RIZA ARCTIUM REAL ESTATE FII;2019-05-23;INVESTIDORES EM GERAL;BRRZATCTF009;3708168;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;30/06;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;28.516.301/0001-91;2024-12-01;1;2025-03-31;XP CRÉDITO IMOBILIÁRIO FII;2019-07-31;INVESTIDORES EM GERAL;BRXPCICTF007;8701551.9999;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;XP INVESTIMENTOS CCTVM S.A;02332886000104;Avenida Ataulfo de Paiva;153;5º e 8º  Andar;Leblon;Rio de Janeiro;RJ;22440-032;(11) 3027 - 2237;;;www.xpi.com.br;adm.fundos.estruturados@xpi.com.br
Classe;28.516.325/0001-40;2024-06-01;1;2024-09-30;XP INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-07-04;INVESTIDORES EM GERAL;BRXPINCTF004;7150422.00000143;N;N;Renda;Outros;Ativa;Indeterminado;;30/06;S;N;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22610500000188;Rua Gilberto Sabino;215;4º andar;Pinheiros;São Paulo;SP;5425020;11 30307177;;;www.vortx.com.br;fundos@vortx.com.br
Fundo;28.516.650/0001-03;2024-12-01;1;2025-03-28;FUNDO DE INVESTIMENTO IMOB OURINVEST RENDA ESTRUTURADA;2018-01-17;INVESTIDORES EM GERAL;BROURECTF003;0;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO FATOR S.A.;33644196000106;R. DR. RENATO PAES DE BARROS;1017;12º andar;Itaim Bibi;São Paulo;SP;04530-001;55 11 30499100;;;www.fator.com.br;fundosimobiliarios@fator.com.br
Classe;28.548.288/0001-52;2024-12-01;1;2025-03-31;TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-10-15;INVESTIDORES EM GERAL;BRTRXFCTF003;20035563;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;28548288000152;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
Classe;28.693.595/0001-27;2024-12-01;1;2025-03-18;FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST RE I;2018-02-23;INVESTIDOR QUALIFICADO;BRWTSPCTF002;1238572;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;OURIBANK S.A. BANCO MULTIPLO;78632767000120;Av. Paulista;1728;Sobreloja, 2º ao 4º, 5º e 7º andares;Bela Vista;São Paulo;SP;01310919;4081-4402;4081-4576;4081-4444;ouribank.com;fundos.imobiliarios@ouribank.com
