CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
34.508.959/0001-54;2024-12-01;1;24F1234494;Aplicações em ativo alvo;611882.95;Caixa
34.508.959/0001-54;2024-12-01;1;24F1234497;Aplicações em ativo alvo;588348.99;Caixa
34.508.959/0001-54;2024-12-01;1;24F1234495;Aplicações em ativo alvo;282407.52;Caixa
34.508.959/0001-54;2024-12-01;1;22D0371159;Aplicações em ativo alvo;10246412.81;Caixa
34.598.181/0001-11;2024-12-01;1;Operações Compromissadas;Ativo de Liquidez;168312161.7;Emissão de Cotas
34.691.520/0001-00;2024-06-01;1;MAX RETAIL FII;Lucro na Venda;4471555.00;Capital
34.691.520/0001-00;2024-06-01;1;GENAL MALLS FII;Lucro na Venda;6898914.14;Capital
34.691.520/0001-00;2024-06-01;1;FII RIO BRA REND VAR;Lucro na Venda;6999986.19;Capital
34.691.520/0001-00;2024-06-01;1;LEGATUS SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIARIO  FII;Lucro na Venda;6929370.00;Capital
34.691.520/0001-00;2024-06-01;1;ICON REALTY I  FII;Lucro na Venda;16184413.53;Capital
34.691.925/0001-48;2024-12-01;1;IMMOB3;Compra para revenda;64669019.00;Montante disponível em caixa
34.736.474/0001-18;2024-06-01;1;SPE TASOS;Benefícios futuros;4429179;Recursos próprios / emissão de cota
34.736.474/0001-18;2024-06-01;1;MILOS;Benefícios futuros;100;Recursos próprios / emissão de cota
34.736.474/0001-18;2024-06-01;1;FIORETTO;Benefícios futuros;13000000;Recursos próprios / emissão de cota
34.835.191/0001-23;2024-06-01;1;Operações Compromissadas;Ativo de Liquidez - Previsto no regulamento do Fundo;614106184.18;Emissão de cotas
34.847.063/0001-08;2024-12-01;1;FII MAXI RENDA;Lucro na Venda;444238.50;Capital
34.847.063/0001-08;2024-12-01;1;KINEA REND IMOB FII;Lucro na Venda;716986.55;Capital
34.847.063/0001-08;2024-12-01;1;ALIANZA TRUST RENDA IMOBILIARIA FII;Lucro na Venda;1179.00;Capital
34.847.063/0001-08;2024-12-01;1;OPEN K ATIVOS E RECEBIVEIS IMOBILIARIOS - FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;2010403.39;Capital
34.847.063/0001-08;2024-12-01;1;GAZIT MALLS  FII;Lucro na Venda;3322181.68;Capital
34.847.063/0001-08;2024-12-01;1;TELLUS MULTIESTRATEGIA FII RESP LIMITADA;Lucro na Venda;300000.00;Capital
34.847.063/0001-08;2024-12-01;1;MOGNO SUNO LOG FII;Lucro na Venda;2931173.66;Capital
34.847.063/0001-08;2024-12-01;1;KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;84578.85;Capital
34.847.063/0001-08;2024-12-01;1;FATOR VERITA MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;5005686.19;Capital
34.847.063/0001-08;2024-12-01;1;INTER DESENVOLVIMENTO FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;Lucro na Venda;6499956.00;Capital
34.847.063/0001-08;2024-12-01;1;CRI 20J0545879;Lucro na Venda;103207.94;Capital
34.847.063/0001-08;2024-12-01;1;CRI 21H0001405;Lucro na Venda;5448903.93;Capital
34.847.063/0001-08;2024-12-01;1;CRI 22F0783752;Lucro na Venda;3429599.79;Capital
34.847.063/0001-08;2024-12-01;1;CRI 22F1357736;Lucro na Venda;12862833.83;Capital
34.847.063/0001-08;2024-12-01;1;CRI 24A1638854;Lucro na Venda;27685733.83;Capital
34.847.063/0001-08;2024-12-01;1;CRI 24G2759412;Lucro na Venda;11485000.00;Capital
34.847.063/0001-08;2024-12-01;1;CRI 24H2012907;Lucro na Venda;5481557.53;Capital
34.847.063/0001-08;2024-12-01;1;LFT 01/09/2027;Lucro na Venda;2270987.79;Capital
35.360.687/0001-50;2024-06-01;1;CRI_22B0945201 - TRUE SEC;Benefícios futuros;12086083.16;Recursos próprios / emissão de cotas
35.360.687/0001-50;2024-06-01;1;CRI_22B0945201 - TRUE SEC;Benefícios futuros;9290021.14;Recursos próprios / emissão de cotas
35.360.687/0001-50;2024-06-01;1;CRI_24F1587407 - SEC. VERT SA;Benefícios futuros;5361000;Recursos próprios / emissão de cotas
35.507.262/0001-21;2024-06-01;1;CRI 20I0795196;Renda;63827447.81;Patrimônio
35.507.262/0001-21;2024-06-01;1;CRI 23I01986969;Renda;10327543.5;Patrimônio
35.507.262/0001-21;2024-06-01;1;CRI 24A01935454;Renda;20051294.8;Patrimônio
35.507.262/0001-21;2024-06-01;1;CRI 24A02399129;Renda;4005044.02;Patrimônio
35.507.262/0001-21;2024-06-01;1;CRI 24A02399146;Renda;20025614.6;Patrimônio
35.507.457/0001-71;2024-06-01;1;MIRAE ASSET CCTVM - ZAVC11;Benefícios futuros;5000000;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;MIRAE ASSET CCTVM - LVBI11;Benefícios futuros;117.96;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;MIRAE ASSET CCTVM - EVBI11;Benefícios futuros;6689774;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_17I0142307;Benefícios futuros;1485374;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_17I0142635;Benefícios futuros;1482301.59;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_18J0698011;Benefícios futuros;397957.63;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_20B0817201;Benefícios futuros;2368905.23;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_20E0031084;Benefícios futuros;872169.37;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_20F0870073;Benefícios futuros;1053887.69;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_20H0695880;Benefícios futuros;2507364.22;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_20J0909894;Benefícios futuros;7123928.23;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_20L0870667;Benefícios futuros;2909860.73;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21B0527235;Benefícios futuros;927523.79;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21C0482259;Benefícios futuros;4003717.92;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21C0731381;Benefícios futuros;8134237.88;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21C0731447;Benefícios futuros;3948649.71;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21C0789243;Benefícios futuros;30568.76;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21D0733780;Benefícios futuros;367358.37;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21D0779652;Benefícios futuros;3596405.11;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21G0707741;Benefícios futuros;10872782.37;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21G0864339;Benefícios futuros;11187819.91;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21H0001650;Benefícios futuros;8452188.02;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21H0891311;Benefícios futuros;13921170.21;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21I0892057;Benefícios futuros;18654090.97;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21I0912120_DU;Benefícios futuros;4003018.13;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21J0856001;Benefícios futuros;1878585.04;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21K0938679;Benefícios futuros;2830731.08;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21L0329277;Benefícios futuros;26036266.52;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21L0329279;Benefícios futuros;1999713.25;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21L0868593;Benefícios futuros;1889978.29;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_21L0868658;Benefícios futuros;10314093.95;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22A0414381;Benefícios futuros;11731853.52;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22A0423267;Benefícios futuros;68936.6;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22B0914263;Benefícios futuros;1159689.73;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22C0750182;Benefícios futuros;27637024.5;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22E0120555;Benefícios futuros;8861673.54;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22E0886427;Benefícios futuros;19297944.74;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22E1321751_DU2;Benefícios futuros;0;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22F0236430;Benefícios futuros;6350232.29;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22F0715946;Benefícios futuros;993787.67;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22H0028631;Benefícios futuros;18897242.19;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22J1411295;Benefícios futuros;2721171.36;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_22J1411297;Benefícios futuros;18506091.36;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_23F2433792;Benefícios futuros;26809695.3;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_23L1276227;Benefícios futuros;1101665.24;Recursos próprios / emissão de cotas
35.507.457/0001-71;2024-06-01;1;CRI_23L2510335;Benefícios futuros;4080499.29;Recursos próprios / emissão de cotas
35.586.415/0001-73;2024-06-01;1;23I01986971;Alocação de caixa;5375442.4;Patrimônio
35.652.081/0001-99;2024-06-01;1;LCI 23L01470961;Lucro na Venda;25000000.00;Capital
35.652.102/0001-76;2024-06-01;1;RBR PRIME OFFICES FII RL;Lucro na Venda;8000000.00;Capital
35.652.102/0001-76;2024-06-01;1;Empreendimento The One;Renda;57532860.00;Capital
35.652.102/0001-76;2024-06-01;1;Vila Olimpia Corporate;Renda;44108415.00;Capital
35.652.102/0001-76;2024-06-01;1;Condominio Edificio Vera Cruz II;Renda;293844864.00;Capital
35.652.102/0001-76;2024-06-01;1;Condominio The One;Renda;197539302.88;Capital
35.652.102/0001-76;2024-06-01;1;Edificio Cidade Jardim;Renda;280158060.00;Capital
35.652.174/0001-13;2024-06-01;1;CRI 23L1349378;Lucro na Venda;10000000.00;Capital
35.652.174/0001-13;2024-06-01;1;Kalea Jardins;Renda;20000000.00;Capital
35.652.252/0001-80;2024-06-01;1;FATOR VERITA FII;Lucro na Venda;425632.06;Capital
35.652.252/0001-80;2024-06-01;1;CAMPUS FARIA LIMA FII;Lucro na Venda;1669884.28;Capital
35.652.252/0001-80;2024-06-01;1;BTGP FUNDO DE FUNDOS FII RESP LIMITADA;Lucro na Venda;15992.75;Capital
35.652.252/0001-80;2024-06-01;1;CENESP FII;Lucro na Venda;12328.40;Capital
35.652.252/0001-80;2024-06-01;1;FII BR PLURAL ABSOLU;Lucro na Venda;58108.78;Capital
35.652.252/0001-80;2024-06-01;1;CAPITANIA SECURITIES II FII;Lucro na Venda;321325.04;Capital
35.652.252/0001-80;2024-06-01;1;OURINVEST JPP FII;Lucro na Venda;464356.26;Capital
35.652.252/0001-80;2024-06-01;1;VINCI RENDA FII;Lucro na Venda;5444265.83;Capital
35.652.252/0001-80;2024-06-01;1;HEDGE TOP FOF 3 FII;Lucro na Venda;52969.09;Capital
35.652.252/0001-80;2024-06-01;1;FII IMOBILIÁRIO FII RBR REND HIGH GRADE;Lucro na Venda;3119881.12;Capital
35.652.252/0001-80;2024-06-01;1;XP SELECTION FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII;Lucro na Venda;77437.76;Capital
35.652.252/0001-80;2024-06-01;1;MAUA CAPITAL RECEBIVEIS FII;Lucro na Venda;258491.79;Capital
35.652.252/0001-80;2024-06-01;1;SANTANDER RENDA FII;Lucro na Venda;3488675.62;Capital
35.652.252/0001-80;2024-06-01;1;HEDGE RECEBIVEIS FII;Lucro na Venda;53559.48;Capital
35.652.252/0001-80;2024-06-01;1;VBI REITS MULT FII;Lucro na Venda;418456.89;Capital
35.652.252/0001-80;2024-06-01;1;RIZA AKIN FII;Lucro na Venda;2272612.66;Capital
35.652.252/0001-80;2024-06-01;1;JFL LIVING FII;Lucro na Venda;1737123.64;Capital
35.652.252/0001-80;2024-06-01;1;BB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;1697033.08;Capital
35.652.252/0001-80;2024-06-01;1;SUNO FOF FII;Lucro na Venda;1388378.50;Capital
35.652.252/0001-80;2024-06-01;1;SUNO RECEBIVEIS IMOBILIARIOS FII;Lucro na Venda;59029.43;Capital
35.652.252/0001-80;2024-06-01;1;JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;25050.72;Capital
35.652.252/0001-80;2024-06-01;1;B3 S.A. - BRASIL BOLSA BALCAO;Lucro na Venda;114455.73;Capital
35.652.252/0001-80;2024-06-01;1;RBR ALPHA PLUS MULTI REAL ESTATE FII;Lucro na Venda;766233.23;Capital
35.652.252/0001-80;2024-06-01;1;MANATI CAPITAL FII;Lucro na Venda;63519.74;Capital
35.652.252/0001-80;2024-06-01;1;RBR PRIME OFFICES FII RL;Lucro na Venda;698400.00;Capital
35.652.252/0001-80;2024-06-01;1;CRI 21I0801132;Lucro na Venda;766179.60;Capital
35.652.278/0001-28;2024-06-01;1;Imovel Querencia;Renda;36380000.00;Capital
35.689.670/0001-41;2024-12-01;1;FII CSHGJHSF - HGPO11;Beneficios futuros;1652661.6;Capital
35.689.670/0001-41;2024-12-01;1;FII KINEA HY - KNHY11;Beneficios futuros;110221.1;Capital
35.689.670/0001-41;2024-12-01;1;FII KINEA IP - KNIP11;Beneficios futuros;733308.61;Capital
35.689.670/0001-41;2024-12-01;1;FII KINEA - KNRI11;Beneficios futuros;141171.5;Capital
35.689.670/0001-41;2024-12-01;1;FII KINEA UNIQUE HY CDI - KNUQ11;Beneficios futuros;546896;Capital
35.689.670/0001-41;2024-12-01;1;FII VBI LOG - LVBI11;Beneficios futuros;922686.36;Capital
35.689.670/0001-41;2024-12-01;1;FII RBRALPHA - RBRF11;Beneficios futuros;48930;Capital
35.689.670/0001-41;2024-12-01;1;FII RBR PROP - RBRP11;Beneficios futuros;325402.4;Capital
35.689.670/0001-41;2024-12-01;1;FII RBR MULT - RBRX11;Beneficios futuros;28702.8;Capital
35.689.670/0001-41;2024-12-01;1;FII BRL1527 - TELLUS PROPERTIES FII - TEPP11;Beneficios futuros;800610.2;Capital
35.689.670/0001-41;2024-12-01;1;FII XP LOG - XPLG11;Beneficios futuros;675071.1;Capital
35.689.670/0001-41;2024-12-01;1;FII XP MALLS - XPML11;Beneficios futuros;5856;Capital
35.689.733/0001-60;2024-12-01;1;FII ALI CRED - ALZC11;Benefícios futuros;500219.71;Recursos próprios / emissão de cotas
35.689.733/0001-60;2024-12-01;1;CRI_21D0524613;Benefícios futuros;711711.32;Recursos próprios / emissão de cotas
35.689.733/0001-60;2024-12-01;1;CRI_22I0879235;Benefícios futuros;2532359.25;Recursos próprios / emissão de cotas
35.689.733/0001-60;2024-12-01;1;CRI_23C0248214;Benefícios futuros;146265.59;Recursos próprios / emissão de cotas
35.689.733/0001-60;2024-12-01;1;CRI_24B1404723;Benefícios futuros;1100896.3;Recursos próprios / emissão de cotas
35.689.733/0001-60;2024-12-01;1;CRI_22I0879235;Benefícios futuros;202199.4;Recursos próprios / emissão de cotas
35.689.733/0001-60;2024-12-01;1;CRI_22I0879235;Benefícios futuros;108616.65;Recursos próprios / emissão de cotas
35.689.733/0001-60;2024-12-01;1;CRI_24B1404723;Benefícios futuros;3000523.85;Recursos próprios / emissão de cotas
35.689.733/0001-60;2024-12-01;1;CRI_24K3211803;Benefícios futuros;2930565.49;Recursos próprios / emissão de cotas
35.689.733/0001-60;2024-12-01;1;CRI_23G1452079;Benefícios futuros;3070905.74;Recursos próprios / emissão de cotas
35.725.659/0001-90;2024-12-01;1;SERVIDAO PMG 903;Venda;800000;Recursos do Caixa
35.755.044/0001-06;2024-12-01;1;XPEX 01  EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA.;Desenvolvimento para venda;72153748;Aporte dos Investidores
35.755.044/0001-06;2024-12-01;1;Cotas FII HGLG11;Fundo Imobiliário;6249953.7;Aporte dos Investidores
35.819.314/0001-03;2024-12-01;1;LOJA 01;Beneficios futuros;622618.25;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 203;Beneficios futuros;395876.85;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 204;Beneficios futuros;434660.36;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 302;Beneficios futuros;382044.69;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 303;Beneficios futuros;395272.56;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 401;Beneficios futuros;400301.69;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 404;Beneficios futuros;443112.67;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 501;Beneficios futuros;397850.52;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 504;Beneficios futuros;434660.36;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 601;Beneficios futuros;397850.52;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 602;Beneficios futuros;382044.69;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 603;Beneficios futuros;395483.87;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 604;Beneficios futuros;434660.36;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 103;Beneficios futuros;381875.64;Capital
35.819.314/0001-03;2024-12-01;1;UNIDADE 104;Beneficios futuros;443112.67;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700 ÁREA;Beneficios futuros;7605150.5;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700 LJ 1;Beneficios futuros;1993525.19;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-101;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-102;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-103;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-201;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-202;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-203;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-204;Beneficios futuros;166816.7;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-205;Beneficios futuros;198606.39;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-206;Beneficios futuros;198606.39;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-207;Beneficios futuros;198561.17;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-208;Beneficios futuros;145201.53;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-209;Beneficios futuros;127927.48;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-210;Beneficios futuros;143257.07;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-301;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-302;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-303;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-304;Beneficios futuros;148186.05;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-305;Beneficios futuros;159445.84;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-306;Beneficios futuros;159445.84;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-307;Beneficios futuros;148186.05;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-308;Beneficios futuros;145201.53;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-309;Beneficios futuros;127927.48;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-310;Beneficios futuros;143257.07;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-401;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-402;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-403;Beneficios futuros;130550.24;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-404;Beneficios futuros;148186.05;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-405;Beneficios futuros;159445.84;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-406;Beneficios futuros;159445.84;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-407;Beneficios futuros;148186.05;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-408;Beneficios futuros;145201.53;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-409;Beneficios futuros;127927.48;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-410;Beneficios futuros;286514.13;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-501;Beneficios futuros;137514.12;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-502;Beneficios futuros;137514.12;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-503;Beneficios futuros;137514.12;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-504;Beneficios futuros;148186.05;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-505;Beneficios futuros;159445.84;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-506;Beneficios futuros;159445.84;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-507;Beneficios futuros;148186.05;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-508;Beneficios futuros;216875.28;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-509;Beneficios futuros;183774.22;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-601;Beneficios futuros;137514.12;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-602;Beneficios futuros;137514.12;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-603;Beneficios futuros;137514.12;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-604;Beneficios futuros;148186.05;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-605;Beneficios futuros;159445.84;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-606;Beneficios futuros;159445.84;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-607;Beneficios futuros;148186.05;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-608;Beneficios futuros;216875.28;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-609;Beneficios futuros;183774.22;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-701;Beneficios futuros;137514.12;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-702;Beneficios futuros;137514.12;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-703;Beneficios futuros;137514.12;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-704;Beneficios futuros;148186.05;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-705;Beneficios futuros;159445.84;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-706;Beneficios futuros;159445.84;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-707;Beneficios futuros;148186.05;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-708;Beneficios futuros;216875.28;Capital
35.819.314/0001-03;2024-12-01;1;RBS 700-709;Beneficios futuros;183683.78;Capital
35.864.448/0001-38;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 181ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;40000000;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 178ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;31038508.0566;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - VIRGO COMPANHIA DE SECURITIZACAO - Série nº 134 da 4ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;20473185;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 237ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;20000954.4849;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 1 da 42ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;16906501.8;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 265ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;14771794.5;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 2 da 224ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;10026394.812;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 340 da 1ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;10000251.4313;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 119ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;10000000;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 187ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;10000000;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 205ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;9905000;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 1 da 53ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;7677081.7256;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 1 da 29ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;7412946.4869;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 5 da 33ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;5553862;Emissão de Cotas
35.864.448/0001-38;2024-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 1 da 27ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;4608186.6867;Emissão de Cotas
